count,TweetId,TimeStamp,Tweet,LocationName_User,Latitude,Longitude,BoundingPoint,User Mentions,URLs,Hashtags,Fav_Count,Followers_Count
,,,,,,,,,,,,
1,1.22992E+18,19-02-2020 00:10,"#IndictBarr
#RemoveAndIndictTrumpCrimeFamily
#IndictRickPerry
#NATO
#ParisAccord

 The US was left alone and humiliated on the world stage as European allies collectively dunked on Trump's 'America First' policy at a major security conference
 https://t.co/lhYUeqJmQo #SmartNews",GLOBAL CITIZEN ,NA,NA,NA,[],['https://t.co/lhYUeqJmQo'],"['SmartNews', 'ParisAccord', 'NATO', 'IndictRickPerry', 'RemoveAndIndictTrumpCrimeFamily', 'IndictBarr']",114976,2090
,,,,,,,,,,,,
2,1.22991E+18,18-02-2020 23:40,@climatecosts It's a hoax. MIT DR. SHIVA AYYADURAI EXPOSED the end game with the teillion dollar commodity market made up out of thin air on nothing more than carbon tax credits. Massive fraud. #ParisAccord #ParisAgreement #GreenNewDeal #IPCC,United States of America,NA,NA,NA,['climatecosts'],[],"['IPCC', 'GreenNewDeal', 'ParisAgreement', 'ParisAccord']",25875,4441
,,,,,,,,,,,,
3,1.22991E+18,18-02-2020 23:13,"@JoeConchaTV Wonder how many people are aware that the price tag for the #ParisAccord was estimated at 1.5 Trillion Dollars, for the U.S. - not anyone else. Until we get #China and #India to address #pollution, particularly of our oceans, things will rema",Base of Pikes Peak,NA,NA,NA,['JoeConchaTV'],[],"['pollution', 'India', 'China', 'ParisAccord']",131238,3373
,,,,,,,,,,,,
4,1.22986E+18,18-02-2020 20:10,"The moment ErinOToole MP would agree to announce his leadership committment would include WITHDRAWING CANADA’s  COMMITTMENT to the #PARISACCORD AGREEMENT, he would secure  himself the #CPC leadership candidacy.  

Just as easy as yelling “Bingo”. https://t.co/rYuZIusxOB",,NA,NA,NA,['CarolHusband'],[],[],147548,742
,,,,,,,,,,,,
5,1.22986E+18,18-02-2020 20:05,"The moment ErinOToole MP would agree to announce his leadership committment would include WITHDRAWING CANADA’s  COMMITTMENT to the #PARISACCORD AGREEMENT, he would secure  himself the #CPC leadership candidacy.  

Just as easy as yelling “Bingo”. https://t.co/rYuZIusxOB",Freedom and Liberty for all,NA,NA,NA,['CarolHusband'],[],[],1390,42
,,,,,,,,,,,,
6,1.22985E+18,18-02-2020 19:19,"The moment ErinOToole MP would agree to announce his leadership committment would include WITHDRAWING CANADA’s  COMMITTMENT to the #PARISACCORD AGREEMENT, he would secure  himself the #CPC leadership candidacy.  

Just as easy as yelling “Bingo”. https://t.co/rYuZIusxOB","50.984736,-114.080062",NA,NA,NA,['CarolHusband'],[],[],34001,369
,,,,,,,,,,,,
7,1.22981E+18,18-02-2020 16:36,"The moment ErinOToole MP would agree to announce his leadership committment would include WITHDRAWING CANADA’s  COMMITTMENT to the #PARISACCORD AGREEMENT, he would secure  himself the #CPC leadership candidacy.  

Just as easy as yelling “Bingo”. https://t.co/rYuZIusxOB","Calgary, Alberta",NA,NA,NA,['CarolHusband'],[],[],41035,4497
,,,,,,,,,,,,
8,1.2298E+18,18-02-2020 16:22,"@SenSherrodBrown RUN FOR POTUS 2020
I know you don't want to but trump will win if you don't 
Obama got thru it, so can you..
He can offer advice &amp; counseling 
PLEASE
For the 🌎
#ParisAccord
#irandeal 
#SCOTUS PICKS!!!
PLEASE SENATOR!!",Earth,NA,NA,"[[[-70.01154, 41.87601], [-69.982986, 41.87601], [-69.982986, 41.92408], [-70.01154, 41.92408]]]",['SenSherrodBrown'],[],"['SCOTUS', 'irandeal', 'ParisAccord']",31363,3576
,,,,,,,,,,,,
9,1.2298E+18,18-02-2020 16:01,"The moment ErinOToole MP would agree to announce his leadership committment would include WITHDRAWING CANADA’s  COMMITTMENT to the #PARISACCORD AGREEMENT, he would secure  himself the #CPC leadership candidacy.  

Just as easy as yelling “Bingo”. https://t.co/rYuZIusxOB",Canada,NA,NA,NA,['CarolHusband'],[],[],239,943
,,,,,,,,,,,,
10,1.22979E+18,18-02-2020 15:20,"The moment ErinOToole MP would agree to announce his leadership committment would include WITHDRAWING CANADA’s  COMMITTMENT to the #PARISACCORD AGREEMENT, he would secure  himself the #CPC leadership candidacy.  

Just as easy as yelling “Bingo”. https://t.co/rYuZIusxOB",Rural Alberta,NA,NA,NA,['CarolHusband'],[],[],36130,1068
,,,,,,,,,,,,
11,1.22978E+18,18-02-2020 14:57,So true - and a critical part of having any hope of achieving #parisaccord goals. Carney Says Business Must Come Clean Quickly on Climate https://t.co/u5M0HAuUCV,"Bowen Island, British Columbia",NA,NA,NA,['JaneStevensen'],[],['parisaccord'],1495,895
,,,,,,,,,,,,
